,t,p,v,q,pwm,fa,hover_throttle,T_sp
0,1758984371.2306478,"[0.000159990150736097, 1.2795262201967318e-16, 0.911632421118377]","[1.9869091315687836e-15, 4.0160511126123513e-16, -2.0684433816341068e-15]","[1.0, -3.5277713142521096e-17, 3.732429767724485e-16, -1.6835354307574879e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-1.4869777727908974e-14, -1.3816512197392543e-15, -52.11898076898158]",0.5,[28.014357968981578]
1,1758984371.235739,"[0.0001599901507361071, 1.2997794266469813e-16, 0.911632421118377]","[2.0243244742531e-15, 4.05064129004991e-16, -2.0684433816341068e-15]","[1.0, -3.384560065952201e-17, 3.699084850922963e-16, -1.6731805997155207e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-1.0475465946228824e-14, -9.251331379801352e-16, -52.11898076898158]",0.5,[28.014357968981578]
2,1758984371.2408876,"[0.0001599901507361174, 1.3202004869577618e-16, 0.911632421118377]","[2.062154559443739e-15, 4.0842120621561056e-16, -2.0684433816341068e-15]","[1.0, -3.2417447550082605e-17, 3.667227370396823e-16, -1.6641312853972885e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-7.56336500071125e-15, -6.240909080294853e-16, -52.11898076898158]",0.5,[28.014357968981578]
3,1758984371.2460158,"[0.0001599901507361279, 1.3407835085100715e-16, 0.911632421118377]","[2.097845889112699e-15, 4.1166043104619127e-16, -2.0684433816341068e-15]","[1.0, -3.0995641561826313e-17, 3.634234158890036e-16, -1.655081963292202e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-5.9351880660810065e-15, -4.182910652814669e-16, -52.11898076898158]",0.5,[28.014357968981578]
4,1758984371.2511206,"[0.00015999015073613857, 1.3615226137041796e-16, 0.911632421118377]","[2.1344999690395124e-15, 4.1478210388216164e-16, -2.0684433816341068e-15]","[1.0, -2.958253465679089e-17, 3.602532070097826e-16, -1.6447271322185076e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-4.629750785574955e-15, -2.7445046586764984e-16, -52.11898076898158]",0.5,[28.014357968981578]
5,1758984371.256269,"[0.0001599901507361494, 1.382409222960766e-16, 0.911632421118377]","[2.1695924770377466e-15, 4.1773218513172906e-16, -2.0684433816341068e-15]","[1.0, -2.817458107193536e-17, 3.569784671241317e-16, -1.6356778178700684e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-4.0264802753031465e-15, -1.8666307692643284e-16, -52.11898076898158]",0.5,[28.014357968981578]
6,1758984371.2614174,"[0.00015999015073616044, 1.4034374957966259e-16, 0.911632421118377]","[2.205495845154964e-15, 4.205654567171963e-16, -2.0684433816341068e-15]","[1.0, -2.677406917537186e-17, 3.5381767139472745e-16, -1.6253229867916476e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-3.441025960182038e-15, -1.2192708882459244e-16, -52.11898076898158]",0.5,[28.014357968981578]
7,1758984371.2665806,"[0.00015999015073617164, 1.4245980874084148e-16, 0.911632421118377]","[2.2399629122441094e-15, 4.2321183223578173e-16, -2.0684433816341068e-15]","[1.0, -2.5375678611622245e-17, 3.5055702125544813e-16, -1.6162736724194467e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-3.2493976408784912e-15, -8.499981908853082e-17, -52.11898076898158]",0.5,[28.014357968981578]
8,1758984371.2716782,"[0.000159990150736183, 1.4458851758460865e-16, 0.911632421118377]","[2.2738622024947444e-15, 4.257417687534359e-16, -2.0684433816341068e-15]","[1.0, -2.3981639697515625e-17, 3.4720282793696256e-16, -1.6085298592076352e-18]","[0.5602871593796317, 0.5602871593796317, 0.5602871593796315, 0.5602871593796315]","[-3.0776120255499003e-15, -4.779783684642194e-17, -52.11898076898158]",0.5,[28.014357968981578]
9,1758984371.276781,"[0.00015999015073619454, 1.4672937458818107e-16, 0.911632421118377]","[2.308836672899656e-15, 4.281714007144833e-16, -2.0684433816341068e-15]","[1.0, -2.2595868379884174e-17, 3.439746095248471e-16, -1.5994805292455972e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.7318482442410866e-15, -1.4091947437570773e-17, -52.11898076898158]",0.5,[28.014357968981578]
